"acep.region","year","Prime Mover","Capacity"
"Coastal",2011,"Fossil Turbine",79
"Coastal",2011,"Recip Engines",196.198
"Coastal",2011,"Hydro",252.16
"Coastal",2011,"Wind",4.5
"Coastal",2012,"Fossil Turbine",79
"Coastal",2012,"Recip Engines",203.553
"Coastal",2012,"Hydro",251.76
"Coastal",2012,"Wind",9
"Coastal",2013,"Fossil Turbine",79
"Coastal",2013,"Recip Engines",197.353
"Coastal",2013,"Hydro",251.06
"Coastal",2013,"Wind",9
"Coastal",2013,"Storage",3
"Coastal",2018,"Fossil Turbine",120.7
"Coastal",2018,"Recip Engines",218.984
"Coastal",2018,"Hydro",288.308
"Coastal",2018,"Wind",9
"Coastal",2018,"Storage",6
"Coastal",2021,"Fossil Turbine",117.9
"Coastal",2021,"Recip Engines",225.098
"Coastal",2021,"Hydro",294.108
"Coastal",2021,"Wind",9
"Coastal",2021,"Storage",7
