"aea_region","year","acep_region","prime_mover","capacity"
"Aleutians",2011,"Rural Remote","Fossil Turbines",0
"Aleutians",2011,"Rural Remote","Recip Engines",34.945
"Aleutians",2011,"Rural Remote","Hydro",0.8
"Aleutians",2011,"Rural Remote","Wind",1.74
"Aleutians",2011,"Rural Remote","Utility Solar",0
"Aleutians",2011,"Rural Remote","Rooftop Solar",0
"Aleutians",2011,"Rural Remote","Storage",0
"Aleutians",2011,"Rural Remote","Landfill Gas",0
"Aleutians",2012,"Rural Remote","Fossil Turbines",0
"Aleutians",2012,"Rural Remote","Recip Engines",34.945
"Aleutians",2012,"Rural Remote","Hydro",0.8
"Aleutians",2012,"Rural Remote","Wind",1.74
"Aleutians",2012,"Rural Remote","Utility Solar",0
"Aleutians",2012,"Rural Remote","Rooftop Solar",0
"Aleutians",2012,"Rural Remote","Storage",0
"Aleutians",2012,"Rural Remote","Landfill Gas",0
"Aleutians",2013,"Rural Remote","Fossil Turbines",0
"Aleutians",2013,"Rural Remote","Recip Engines",34.945
"Aleutians",2013,"Rural Remote","Hydro",1.084
"Aleutians",2013,"Rural Remote","Wind",1.74
"Aleutians",2013,"Rural Remote","Utility Solar",0
"Aleutians",2013,"Rural Remote","Rooftop Solar",0
"Aleutians",2013,"Rural Remote","Storage",0.2
"Aleutians",2013,"Rural Remote","Landfill Gas",0
"Aleutians",2018,"Rural Remote","Fossil Turbines",0
"Aleutians",2018,"Rural Remote","Recip Engines",66.588
"Aleutians",2018,"Rural Remote","Hydro",1.589
"Aleutians",2018,"Rural Remote","Wind",1.61
"Aleutians",2018,"Rural Remote","Utility Solar",0
"Aleutians",2018,"Rural Remote","Rooftop Solar",0
"Aleutians",2018,"Rural Remote","Storage",0
"Aleutians",2018,"Rural Remote","Landfill Gas",0
"Aleutians",2021,"Rural Remote","Fossil Turbines",0
"Aleutians",2021,"Rural Remote","Recip Engines",56.067
"Aleutians",2021,"Rural Remote","Hydro",1.589
"Aleutians",2021,"Rural Remote","Wind",1.385
"Aleutians",2021,"Rural Remote","Utility Solar",0
"Aleutians",2021,"Rural Remote","Rooftop Solar",0
"Aleutians",2021,"Rural Remote","Storage",0
"Aleutians",2021,"Rural Remote","Landfill Gas",0
"Bering Straits",2011,"Rural Remote","Fossil Turbines",0
"Bering Straits",2011,"Rural Remote","Recip Engines",36.833
"Bering Straits",2011,"Rural Remote","Hydro",0
"Bering Straits",2011,"Rural Remote","Wind",2.4
"Bering Straits",2011,"Rural Remote","Utility Solar",0
"Bering Straits",2011,"Rural Remote","Rooftop Solar",0
"Bering Straits",2011,"Rural Remote","Storage",0
"Bering Straits",2011,"Rural Remote","Landfill Gas",0
"Bering Straits",2012,"Rural Remote","Fossil Turbines",0
"Bering Straits",2012,"Rural Remote","Recip Engines",36.833
"Bering Straits",2012,"Rural Remote","Hydro",0
"Bering Straits",2012,"Rural Remote","Wind",2.6
"Bering Straits",2012,"Rural Remote","Utility Solar",0
"Bering Straits",2012,"Rural Remote","Rooftop Solar",0
"Bering Straits",2012,"Rural Remote","Storage",0
"Bering Straits",2012,"Rural Remote","Landfill Gas",0
"Bering Straits",2013,"Rural Remote","Fossil Turbines",0
"Bering Straits",2013,"Rural Remote","Recip Engines",32.533
"Bering Straits",2013,"Rural Remote","Hydro",0
"Bering Straits",2013,"Rural Remote","Wind",4.4
"Bering Straits",2013,"Rural Remote","Utility Solar",0
"Bering Straits",2013,"Rural Remote","Rooftop Solar",0
"Bering Straits",2013,"Rural Remote","Storage",0
"Bering Straits",2013,"Rural Remote","Landfill Gas",0
"Bering Straits",2018,"Rural Remote","Fossil Turbines",0
"Bering Straits",2018,"Rural Remote","Recip Engines",32.129
"Bering Straits",2018,"Rural Remote","Hydro",0
"Bering Straits",2018,"Rural Remote","Wind",5.13
"Bering Straits",2018,"Rural Remote","Utility Solar",0
"Bering Straits",2018,"Rural Remote","Rooftop Solar",0
"Bering Straits",2018,"Rural Remote","Storage",0
"Bering Straits",2018,"Rural Remote","Landfill Gas",0
"Bering Straits",2021,"Rural Remote","Fossil Turbines",0
"Bering Straits",2021,"Rural Remote","Recip Engines",33.467
"Bering Straits",2021,"Rural Remote","Hydro",0
"Bering Straits",2021,"Rural Remote","Wind",3.1
"Bering Straits",2021,"Rural Remote","Utility Solar",0
"Bering Straits",2021,"Rural Remote","Rooftop Solar",0
"Bering Straits",2021,"Rural Remote","Storage",0
"Bering Straits",2021,"Rural Remote","Landfill Gas",0
"Bristol Bay",2011,"Rural Remote","Fossil Turbines",0
"Bristol Bay",2011,"Rural Remote","Recip Engines",27.479
"Bristol Bay",2011,"Rural Remote","Hydro",0.824
"Bristol Bay",2011,"Rural Remote","Wind",0.044
"Bristol Bay",2011,"Rural Remote","Utility Solar",0
"Bristol Bay",2011,"Rural Remote","Rooftop Solar",0
"Bristol Bay",2011,"Rural Remote","Storage",0
"Bristol Bay",2011,"Rural Remote","Landfill Gas",0
"Bristol Bay",2012,"Rural Remote","Fossil Turbines",0
"Bristol Bay",2012,"Rural Remote","Recip Engines",26.879
"Bristol Bay",2012,"Rural Remote","Hydro",0.8
"Bristol Bay",2012,"Rural Remote","Wind",0.224
"Bristol Bay",2012,"Rural Remote","Utility Solar",0
"Bristol Bay",2012,"Rural Remote","Rooftop Solar",0
"Bristol Bay",2012,"Rural Remote","Storage",0
"Bristol Bay",2012,"Rural Remote","Landfill Gas",0
"Bristol Bay",2013,"Rural Remote","Fossil Turbines",0
"Bristol Bay",2013,"Rural Remote","Recip Engines",26.879
"Bristol Bay",2013,"Rural Remote","Hydro",0.824
"Bristol Bay",2013,"Rural Remote","Wind",0.224
