"year","aea_srid","pce_id","rca_cpcn","utility_name","reporting_name","intertie_name","aea_region","data_source","acep_region","class","revenue","sales","customers","price"
2019,"SR-1",0,1,"Alaska Electric Light&Power Co","Alaska Electric Light&Power Co","Juneau_grid","Southeast","EIA861","Coastal","Residential",20309.5,143208,14793,0.141818195
2019,"SR-1",0,1,"Alaska Electric Light&Power Co","Alaska Electric Light&Power Co","Juneau_grid","Southeast","EIA861","Coastal","Commercial",14572.2,121011,2354,0.120420458
2019,"SR-1",0,1,"Alaska Electric Light&Power Co","Alaska Electric Light&Power Co","Juneau_grid","Southeast","EIA861","Coastal","Other",8831.2,73577,133,0.120026639
2019,"SR-1",0,1,"Alaska Electric Light&Power Co","Alaska Electric Light&Power Co","Juneau_grid","Southeast","EIA861","Coastal","Total",43712.9,337796,17280,0.12940621
2019,"SR-10",0,227,"TDX North Slope Generating Co","TDX North Slope Generating Co","Deadhorse_grid","North Slope","EIA861","Rural Remote","Residential",0,NA,NA,0
2019,"SR-10",0,227,"TDX North Slope Generating Co","TDX North Slope Generating Co","Deadhorse_grid","North Slope","EIA861","Rural Remote","Commercial",11859,53764,162,0.220575106
2019,"SR-10",0,227,"TDX North Slope Generating Co","TDX North Slope Generating Co","Deadhorse_grid","North Slope","EIA861","Rural Remote","Other",0,0,0,NA
2019,"SR-10",0,227,"TDX North Slope Generating Co","TDX North Slope Generating Co","Deadhorse_grid","North Slope","EIA861","Rural Remote","Total",11859,53764,162,0.220575106
2019,"SR-100",331420,169,"Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","PCE","Rural Remote","Residential",293.8234456,496.072,93,0.5923
2019,"SR-100",331420,169,"Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","PCE","Rural Remote","Commercial",97.0021556,163.772,12,0.5923
2019,"SR-100",331420,169,"Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","PCE","Rural Remote","Other",319.9024146,540.102,29,0.5923
2019,"SR-100",331420,169,"Alaska Village Electric Cooperative","Koyuk","Koyuk_grid","Bering Straits","PCE","Rural Remote","Total",710.7280158,1199.946,133,0.5923
2019,"SR-101",332140,687,"Koyukuk, City of","Koyukuk","Koyukuk_grid","Yukon-Koyukuk/Upper Tanana","0","Rural Remote","Residential",0,0,0,0
2019,"SR-101",332140,687,"Koyukuk, City of","Koyukuk","Koyukuk_grid","Yukon-Koyukuk/Upper Tanana","0","Rural Remote","Commercial",0,0,0,0
2019,"SR-101",332140,687,"Koyukuk, City of","Koyukuk","Koyukuk_grid","Yukon-Koyukuk/Upper Tanana","0","Rural Remote","Other",0,0,0,NA
2019,"SR-101",332140,687,"Koyukuk, City of","Koyukuk","Koyukuk_grid","Yukon-Koyukuk/Upper Tanana","0","Rural Remote","Total",0,0,0,0
2019,"SR-102",332150,281,"Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","Kwethluk_grid","Lower Yukon-Kuskokwim","PCE","Rural Remote","Residential",411.0964,790.57,188,0.52
2019,"SR-102",332150,281,"Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","Kwethluk_grid","Lower Yukon-Kuskokwim","PCE","Rural Remote","Commercial",346.4994,666.345,26,0.52
2019,"SR-102",332150,281,"Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","Kwethluk_grid","Lower Yukon-Kuskokwim","PCE","Rural Remote","Other",20.69236,39.793,7,0.52
2019,"SR-102",332150,281,"Kwethluk Incorporated d/b/a Kuiggluum Kallugvia","Kwethluk","Kwethluk_grid","Lower Yukon-Kuskokwim","PCE","Rural Remote","Total",778.28816,1599.479,231,0.486588545
2019,"SR-103",332160,376,"Kwigillingok Power Company","Kwigillingok","Kwigillingok_grid","Lower Yukon-Kuskokwim","PCE","Rural Remote","Residential",405.5810383,518.867,106,0.781666667
2019,"SR-103",332160,376,"Kwigillingok Power Company","Kwigillingok","Kwigillingok_grid","Lower Yukon-Kuskokwim","PCE","Rural Remote","Commercial",371.34482,475.068,17,0.781666667
2019,"SR-103",332160,376,"Kwigillingok Power Company","Kwigillingok","Kwigillingok_grid","Lower Yukon-Kuskokwim","PCE","Rural Remote","Other",24.31765,31.11,6,0.781666667
2019,"SR-103",332160,376,"Kwigillingok Power Company","Kwigillingok","Kwigillingok_grid","Lower Yukon-Kuskokwim","PCE","Rural Remote","Total",801.2435083,1056.885,133,0.758117968
2019,"SR-104",332170,353,"Larsen Bay Utility Company","Larsen Bay","Larsen Bay_grid","Kodiak","PCE","Coastal","Residential",52.54355,128.155,52,0.41
