name,latitude,longitude,pce,customers
Juneau,58.3019444,-134.4197222,FALSE,17280
Deadhorse,70.2055556,-148.5116667,FALSE,162
Koyuk,64.9319444,-161.1569444,TRUE,133
Koyukuk,64.8802778,-157.7008333,TRUE,0
Kwethluk,60.8122222,-161.4358333,TRUE,231
Kwigillingok,59.8644444,-163.1341667,TRUE,133
Larsen Bay,57.54,-153.9786111,TRUE,95
Levelock,59.1141667,-156.8588889,TRUE,78
Lime Village,61.3563889,-155.4355556,TRUE,19
Lower Kalskag,61.5122222,-160.3580556,TRUE,110
Manley Hot Springs,65.0011111,-150.6338889,TRUE,119
Manokotak,58.9813889,-159.0583333,TRUE,207
Adak,51.88,-176.6580556,TRUE,228
Marshall,61.8777778,-162.0811111,TRUE,149
McGrath,62.9563889,-155.5958333,TRUE,298
Mekoryuk,60.3880556,-166.185,TRUE,130
Mentasta Lake,62.9211111,-143.7691667,TRUE,73
Minto,65.150411,-149.349708,TRUE,101
Mountain Village,62.0855556,-163.7294444,TRUE,249
Naknek,58.7283333,-157.0138889,TRUE,1264
Napakiak,60.6966667,-161.9519444,TRUE,138
Napaskiak,60.7080556,-161.7661111,TRUE,157
Naukati Bay,55.8736111,-133.1847222,TRUE,108
Akhiok,56.9455556,-154.1702778,TRUE,43
Nelson Lagoon,56.0006152,-161.206974,TRUE,66
New Stuyahok,59.4527778,-157.3119444,TRUE,153
Newtok,60.9427778,-164.6294444,TRUE,97
Nightmute,60.4794444,-164.7238889,TRUE,89
Nikolai,63.0133333,-154.375,TRUE,66
Nikolski,52.9380556,-168.8677778,TRUE,27
Noatak,67.5711111,-162.9652778,TRUE,157
Nome,64.5011111,-165.4063889,TRUE,2232
Noorvik,66.8383333,-161.0327778,TRUE,184
Northway,62.9616667,-141.9372222,TRUE,123
Akiachak,60.9094444,-161.4313889,TRUE,251
Nuiqsut,70.2175,-150.9763889,TRUE,192
Nulato,64.7194444,-158.1030556,TRUE,146
Nunam Iqua,62.5336111,-164.8411111,TRUE,493
Nunapitchuk,60.8969444,-162.4594444,TRUE,169
Old Harbor,57.2027778,-153.3038889,TRUE,134
Ouzinkie,57.9236111,-152.5022222,TRUE,113
Pedro Bay,59.7872222,-154.1061111,TRUE,63
Pelican,57.9608333,-136.2275,TRUE,97
Perryville,55.9139846,-159.1632767,TRUE,69
Pilot Point,57.5641667,-157.5791667,TRUE,77
Akiak,60.9122222,-161.2138889,TRUE,144
Pilot Station,61.9388889,-162.875,TRUE,172
Pitkas Point,62.0327778,-163.2877778,TRUE,38
Point Hope,68.3486111,-166.7347222,TRUE,280
Point Lay,69.743857,-163.008442,TRUE,109
Port Alsworth,60.2025,-154.3127778,TRUE,155
Port Heiden,56.9325614,-158.6249699,TRUE,90
Quinhagak,59.7488889,-161.9158333,TRUE,231
Rampart,65.505,-150.17,TRUE,48
Red Devil,61.7611111,-157.3125,TRUE,18
Akutan,54.1355556,-165.7730556,TRUE,83
Ruby,64.7394444,-155.4869444,TRUE,168
Russian Mission,61.785,-161.3202778,TRUE,101
Saint George,56.6,-169.5416667,TRUE,78
Saint Mary's,62.0530556,-163.1658333,TRUE,258
Saint Michael,63.4780556,-162.0391667,TRUE,143
Saint Paul,57.1222222,-170.275,TRUE,255
Sand Point,55.3397222,-160.4972222,TRUE,399
Savoonga,63.6941667,-170.4788889,TRUE,218
Scammon Bay,61.8427778,-165.5816667,TRUE,173
Selawik,66.6038889,-160.0069444,TRUE,240
Alakanuk,62.6888889,-164.6152778,TRUE,209
Shageluk,62.6822222,-159.5619444,TRUE,60
Shaktoolik,64.3338889,-161.1538889,TRUE,98
Shishmaref,66.2566667,-166.0719444,TRUE,206
Shungnak,66.8880556,-157.1363889,TRUE,93
Skagway,59.4583333,-135.3138889,TRUE,1317
Slana,62.7069444,-143.9611111,TRUE,96
Sleetmute,61.7025,-157.1697222,TRUE,49
