year,month,net_generation_kwh,description,cpcn,source,source_link,comments
2020,1,114141700,"Total Net Generation, Chugach + Anchorage Municipal Light and Power",8,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=E4D47C58-432B-4A82-A330-72BFC621F637#page=34,
2020,2,102934400,"Total Net Generation, Chugach + Anchorage Municipal Light and Power",8,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=E4D47C58-432B-4A82-A330-72BFC621F637#page=34,
2020,3,106435600,"Total Net Generation, Chugach + Anchorage Municipal Light and Power",8,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=E4D47C58-432B-4A82-A330-72BFC621F637#page=34,
2020,4,86033400,"Total Net Generation, Chugach + Anchorage Municipal Light and Power",8,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=E4D47C58-432B-4A82-A330-72BFC621F637#page=34,
2020,5,89026600,"Total Net Generation, Chugach + Anchorage Municipal Light and Power",8,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=E4D47C58-432B-4A82-A330-72BFC621F637#page=34,
2020,6,68056000,"Total Net Generation, Chugach + Anchorage Municipal Light and Power",8,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=E4D47C58-432B-4A82-A330-72BFC621F637#page=34,
2020,7,95663900,"Total Net Generation, Chugach + Anchorage Municipal Light and Power",8,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=E4D47C58-432B-4A82-A330-72BFC621F637#page=34,
2020,8,96170200,"Total Net Generation, Chugach + Anchorage Municipal Light and Power",8,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=E4D47C58-432B-4A82-A330-72BFC621F637#page=34,
2020,9,91974800,"Total Net Generation, Chugach + Anchorage Municipal Light and Power",8,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=E4D47C58-432B-4A82-A330-72BFC621F637#page=34,
2020,10,92072300,"Total Net Generation, Chugach + Anchorage Municipal Light and Power",8,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=E4D47C58-432B-4A82-A330-72BFC621F637#page=34,
2020,11,95291800,"Total Net Generation, Chugach + Anchorage Municipal Light and Power",8,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=E4D47C58-432B-4A82-A330-72BFC621F637#page=34,
2020,12,87973000,"Total Net Generation, Chugach + Anchorage Municipal Light and Power",8,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=E4D47C58-432B-4A82-A330-72BFC621F637#page=34,
2019,1,30798000,"Net Generation, Anchorage Municipal Light and Power",121,RCA,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=08DD9485-729E-4C3D-97ED-A547E468E1EC#page=26,
