"plant_name_eia","year","coal_net_gen"
"Aurora Energy LLC","2011",209150
"Aurora Energy LLC","2012",201405
"Aurora Energy LLC","2013",187843
"Eielson Air Force Base Central","2011",74114
"Eielson Air Force Base Central","2012",72445
"Eielson Air Force Base Central","2013",71410
"Healy","2011",177939.741210938
"Healy","2012",215310.155273438
"Healy","2013",191063.833984375
"University of Alaska Fairbanks","2011",51303.6237792969
"University of Alaska Fairbanks","2012",46073.8249511719
"University of Alaska Fairbanks","2013",39249.2049560547
"Utility Plants Section","2011",143877.90625
"Utility Plants Section","2012",149725.177734375
"Utility Plants Section","2013",135054.671875
