name,rca_cpcn,month,year,station_service_kwh,diesel_generation_kwh,gas_generation_kwh,net_generation_mwh,link
"TDX North Slope Generating, Inc.",227,1,2011,38747,83520,6639679,6684452,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=882dfc80-776d-4e54-a7e2-cebbff83f465
"TDX North Slope Generating, Inc.",227,2,2011,41018,25040,6035536,6019558,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=882dfc80-776d-4e54-a7e2-cebbff83f465
"TDX North Slope Generating, Inc.",227,3,2011,34352,5190,5681835,5652673,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=882dfc80-776d-4e54-a7e2-cebbff83f465
"TDX North Slope Generating, Inc.",227,4,2011,33285,0,5830045,5796760,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=882dfc80-776d-4e54-a7e2-cebbff83f465
"TDX North Slope Generating, Inc.",227,5,2011,37664,0,4712288,4674624,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=882dfc80-776d-4e54-a7e2-cebbff83f465
"TDX North Slope Generating, Inc.",227,6,2011,54572,69601,3540311,3555340,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=882dfc80-776d-4e54-a7e2-cebbff83f465
"TDX North Slope Generating, Inc.",227,7,2011,52741,0,3313214,3260473,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=882dfc80-776d-4e54-a7e2-cebbff83f465
"TDX North Slope Generating, Inc.",227,8,2011,40368,52,3573910,3533594,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=882dfc80-776d-4e54-a7e2-cebbff83f465
"TDX North Slope Generating, Inc.",227,9,2011,40625,0,4078548,4037923,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=882dfc80-776d-4e54-a7e2-cebbff83f465
"TDX North Slope Generating, Inc.",227,10,2011,46035,0,4810206,4764171,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=882dfc80-776d-4e54-a7e2-cebbff83f465
"TDX North Slope Generating, Inc.",227,11,2011,42381,0,6028680,5986299,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=882dfc80-776d-4e54-a7e2-cebbff83f465
"TDX North Slope Generating, Inc.",227,12,2011,51245,0,6644558,6593313,https://rca.alaska.gov/RCAWeb/ViewFile.aspx?id=882dfc80-776d-4e54-a7e2-cebbff83f465
