year,acep_energy_region,sector,avg_price,weighted_price
2011,Coastal,commercial,51.17437837837838,20.862783575538863
2012,Coastal,commercial,51.02231578947369,20.457773775873065
2013,Coastal,commercial,50.587342105263154,20.73643708729082
2014,Coastal,commercial,49.493,21.4378460934775
2015,Coastal,commercial,45.90210256410256,19.38502631348128
2016,Coastal,commercial,43.54602564102564,19.443470302609903
2017,Coastal,commercial,41.583615384615385,19.94404956268221
2018,Coastal,commercial,44.70386486486486,19.93923158336833
2019,Coastal,commercial,42.132384615384616,19.673418884612236
2020,Coastal,commercial,45.15614705882353,15.752940086064223
2021,Coastal,commercial,43.79251351351351,15.431334428923584
2011,Coastal,other,52.79528571428571,40.21929317697227
2012,Coastal,other,52.219166666666666,38.383381663113006
2013,Coastal,other,52.20225,38.154358293838854
2014,Coastal,other,50.637054054054055,37.50664963503649
2015,Coastal,other,47.246918918918915,34.72788020833333
2016,Coastal,other,44.85037837837838,34.675128346456695
2017,Coastal,other,45.340694444444445,33.48141585903084
2018,Coastal,other,46.35666666666666,34.39942150910669
2019,Coastal,other,45.56561111111111,33.84654655172414
2020,Coastal,other,46.122088235294115,34.520401221995925
2021,Coastal,other,46.208085714285716,35.26421812552772
2011,Coastal,residential,23.698702702702704,17.176213401984555
2012,Coastal,residential,23.45228947368421,17.03418778197781
2013,Coastal,residential,23.609263157894738,16.85649939068974
2014,Coastal,residential,24.048871794871793,16.360216252583015
2015,Coastal,residential,24.890333333333334,16.29685291473455
2016,Coastal,residential,26.25469230769231,16.683273009015778
2017,Coastal,residential,25.73902564102564,16.984354852310798
2018,Coastal,residential,26.922473684210527,17.571795164382916
2019,Coastal,residential,26.82794871794872,17.588183647886343
2020,Coastal,residential,29.05397142857143,17.663460751132696
2021,Coastal,residential,28.53463157894737,17.534536811809488
2011,Railbelt,commercial,18.144666666666666,16.777948974821342
2012,Railbelt,commercial,17.9144,16.18147025365104
2013,Railbelt,commercial,17.2148,15.47748508202976
2014,Railbelt,commercial,17.916,17.34968434570866
2015,Railbelt,commercial,18.3672,17.593949135737187
2016,Railbelt,commercial,19.1966,18.523153824867787
2017,Railbelt,commercial,20.4528,19.917075585140648
2018,Railbelt,commercial,20.0608,19.458311732149372
2019,Railbelt,commercial,20.4036,19.956736206793266
2020,Railbelt,commercial,20.8562,19.76447732981819
2021,Railbelt,commercial,21.38525,19.720445702688398
2011,Railbelt,other,15.20975,19.181879120879124
2012,Railbelt,other,17.763333333333332,20.98772972972973
2013,Railbelt,other,16.553,18.68792068429238
2014,Railbelt,other,13.969666666666667,18.092552044609665
2015,Railbelt,other,13.767333333333333,15.912846441947567
2016,Railbelt,other,14.399000000000001,16.90996103896104
2017,Railbelt,other,15.273666666666667,18.113145719489985
2018,Railbelt,other,15.235999999999999,18.67671914132379
2019,Railbelt,other,14.891666666666667,17.98817383512545
2020,Railbelt,other,15.068999999999999,16.921932384341638
2021,Railbelt,other,14.536666666666665,18.004998248686515
2011,Railbelt,residential,20.084833333333332,19.14394958457085
2012,Railbelt,residential,19.2752,18.27159031889146
2013,Railbelt,residential,18.9806,18.1080826844035
2014,Railbelt,residential,20.7934,19.962861341766974
2015,Railbelt,residential,21.3644,20.756341948200525
2016,Railbelt,residential,22.228,21.685874770835625
2017,Railbelt,residential,23.668,23.052239154131243
2018,Railbelt,residential,23.6778,23.0325875220389
2019,Railbelt,residential,24.2196,23.49914921014561
2020,Railbelt,residential,24.3894,23.552081731848954
2021,Railbelt,residential,24.2775,22.894852596470304
2011,Rural Remote,commercial,68.94587142857142,54.1233975188781
2012,Rural Remote,commercial,73.88132167832168,56.51713897227618
2013,Rural Remote,commercial,71.73600694444444,55.77852782701168
2014,Rural Remote,commercial,70.05542,56.412751598465476
2015,Rural Remote,commercial,70.24158,52.02766786414108
2016,Rural Remote,commercial,64.76864,46.788696266397565
2017,Rural Remote,commercial,61.07246,44.358847006285146
2018,Rural Remote,commercial,65.7214,48.20636877298559
2019,Rural Remote,commercial,60.169153333333334,48.25514733991712
2020,Rural Remote,commercial,67.70549264705882,60.694243545010494
2021,Rural Remote,commercial,62.692154411764704,44.0897635135135
2011,Rural Remote,other,69.3575035971223,64.95504157706092
2012,Rural Remote,other,74.42268085106383,69.11890010779734
2013,Rural Remote,other,72.15276923076924,66.66187438596492
2014,Rural Remote,other,71.4361958041958,66.70979885423294
2015,Rural Remote,other,70.73476551724139,64.86118229470007
2016,Rural Remote,other,66.29612328767124,59.43532980652962
2017,Rural Remote,other,65.0652380952381,57.10227158424141
2018,Rural Remote,other,65.80837671232877,58.44817411095305
2019,Rural Remote,other,66.0336875,59.18737211981568
2020,Rural Remote,other,66.9785448275862,53.45580260734021
2021,Rural Remote,other,62.558083333333336,49.43639324437031
2011,Rural Remote,residential,27.05085,23.9479167016268
2012,Rural Remote,residential,27.53693706293706,23.82005329752855
2013,Rural Remote,residential,26.72945138888889,22.873052182504033
2014,Rural Remote,residential,26.89796,23.676306575090766
2015,Rural Remote,residential,29.63346,24.808670465588843
2016,Rural Remote,residential,30.503713333333334,25.75506019725656
2017,Rural Remote,residential,30.821906666666667,26.490110428247085
2018,Rural Remote,residential,30.502155405405407,27.0119865970409
2019,Rural Remote,residential,28.72258389261745,26.078337617568195
2020,Rural Remote,residential,31.750544827586207,28.38267269395824
2021,Rural Remote,residential,30.140958620689656,27.27945503988397
