"year","plant_name","aea_energy_region","source","data_version","fuel_type","generation","acep_region"
2011,"Akiachak","Lower Yukon-Kuskokwim","PCE","Final","Oil",1851.534,"Rural Remote"
2011,"Akiachak","Lower Yukon-Kuskokwim","PCE","Final","Gas",NA,"Rural Remote"
2011,"Akiachak","Lower Yukon-Kuskokwim","PCE","Final","Coal",NA,"Rural Remote"
2011,"Akiachak","Lower Yukon-Kuskokwim","PCE","Final","Hydro",NA,"Rural Remote"
2011,"Akiachak","Lower Yukon-Kuskokwim","PCE","Final","Wind",NA,"Rural Remote"
2011,"Akiachak","Lower Yukon-Kuskokwim","PCE","Final","Solar",NA,"Rural Remote"
2011,"Akiachak","Lower Yukon-Kuskokwim","PCE","Final","Storage",NA,"Rural Remote"
2011,"Akiachak","Lower Yukon-Kuskokwim","PCE","Final","Other",NA,"Rural Remote"
2011,"Akiak","Lower Yukon-Kuskokwim","PCE","Final","Oil",1029.531,"Rural Remote"
2011,"Akiak","Lower Yukon-Kuskokwim","PCE","Final","Gas",NA,"Rural Remote"
2011,"Akiak","Lower Yukon-Kuskokwim","PCE","Final","Coal",NA,"Rural Remote"
2011,"Akiak","Lower Yukon-Kuskokwim","PCE","Final","Hydro",NA,"Rural Remote"
2011,"Akiak","Lower Yukon-Kuskokwim","PCE","Final","Wind",NA,"Rural Remote"
2011,"Akiak","Lower Yukon-Kuskokwim","PCE","Final","Solar",NA,"Rural Remote"
2011,"Akiak","Lower Yukon-Kuskokwim","PCE","Final","Storage",NA,"Rural Remote"
2011,"Akiak","Lower Yukon-Kuskokwim","PCE","Final","Other",NA,"Rural Remote"
2011,"Akutan","Aleutians","PCE","Final","Oil",489.5706,"Rural Remote"
2011,"Akutan","Aleutians","PCE","Final","Gas",NA,"Rural Remote"
2011,"Akutan","Aleutians","PCE","Final","Coal",NA,"Rural Remote"
2011,"Akutan","Aleutians","PCE","Final","Hydro",42.111,"Rural Remote"
2011,"Akutan","Aleutians","PCE","Final","Wind",NA,"Rural Remote"
2011,"Akutan","Aleutians","PCE","Final","Solar",NA,"Rural Remote"
2011,"Akutan","Aleutians","PCE","Final","Storage",NA,"Rural Remote"
2011,"Akutan","Aleutians","PCE","Final","Other",NA,"Rural Remote"
2011,"Annex Creek","Southeast","EIA","Final","Oil",NA,"Coastal"
2011,"Annex Creek","Southeast","EIA","Final","Gas",NA,"Coastal"
2011,"Annex Creek","Southeast","EIA","Final","Coal",NA,"Coastal"
2011,"Annex Creek","Southeast","EIA","Final","Hydro",22270,"Coastal"
2011,"Annex Creek","Southeast","EIA","Final","Wind",NA,"Coastal"
2011,"Annex Creek","Southeast","EIA","Final","Solar",NA,"Coastal"
2011,"Annex Creek","Southeast","EIA","Final","Storage",NA,"Coastal"
2011,"Annex Creek","Southeast","EIA","Final","Other",NA,"Coastal"
2011,"Auke Bay","Southeast","EIA","Final","Oil",1119,"Coastal"
2011,"Auke Bay","Southeast","EIA","Final","Gas",NA,"Coastal"
2011,"Auke Bay","Southeast","EIA","Final","Coal",NA,"Coastal"
2011,"Auke Bay","Southeast","EIA","Final","Hydro",NA,"Coastal"
2011,"Auke Bay","Southeast","EIA","Final","Wind",NA,"Coastal"
2011,"Auke Bay","Southeast","EIA","Final","Solar",NA,"Coastal"
2011,"Auke Bay","Southeast","EIA","Final","Storage",NA,"Coastal"
2011,"Auke Bay","Southeast","EIA","Final","Other",NA,"Coastal"
2011,"Gold Creek","Southeast","EIA","Final","Oil",23,"Coastal"
2011,"Gold Creek","Southeast","EIA","Final","Gas",NA,"Coastal"
2011,"Gold Creek","Southeast","EIA","Final","Coal",NA,"Coastal"
2011,"Gold Creek","Southeast","EIA","Final","Hydro",4838,"Coastal"
2011,"Gold Creek","Southeast","EIA","Final","Wind",NA,"Coastal"
2011,"Gold Creek","Southeast","EIA","Final","Solar",NA,"Coastal"
2011,"Gold Creek","Southeast","EIA","Final","Storage",NA,"Coastal"
2011,"Gold Creek","Southeast","EIA","Final","Other",NA,"Coastal"
2011,"Lake Dorothy","Southeast","EIA","Final","Oil",NA,"Coastal"
2011,"Lake Dorothy","Southeast","EIA","Final","Gas",NA,"Coastal"
2011,"Lake Dorothy","Southeast","EIA","Final","Coal",NA,"Coastal"
2011,"Lake Dorothy","Southeast","EIA","Final","Hydro",70602,"Coastal"
2011,"Lake Dorothy","Southeast","EIA","Final","Wind",NA,"Coastal"
2011,"Lake Dorothy","Southeast","EIA","Final","Solar",NA,"Coastal"
2011,"Lake Dorothy","Southeast","EIA","Final","Storage",NA,"Coastal"
2011,"Lake Dorothy","Southeast","EIA","Final","Other",NA,"Coastal"
2011,"Lemon Creek","Southeast","EIA","Final","Oil",2283,"Coastal"
2011,"Lemon Creek","Southeast","EIA","Final","Gas",NA,"Coastal"
2011,"Lemon Creek","Southeast","EIA","Final","Coal",NA,"Coastal"
2011,"Lemon Creek","Southeast","EIA","Final","Hydro",NA,"Coastal"
2011,"Lemon Creek","Southeast","EIA","Final","Wind",NA,"Coastal"
2011,"Lemon Creek","Southeast","EIA","Final","Solar",NA,"Coastal"
2011,"Lemon Creek","Southeast","EIA","Final","Storage",NA,"Coastal"
2011,"Lemon Creek","Southeast","EIA","Final","Other",NA,"Coastal"
2011,"Salmon Creek 1","Southeast","EIA","Final","Oil",NA,"Coastal"
2011,"Salmon Creek 1","Southeast","EIA","Final","Gas",NA,"Coastal"
2011,"Salmon Creek 1","Southeast","EIA","Final","Coal",NA,"Coastal"
2011,"Salmon Creek 1","Southeast","EIA","Final","Hydro",24337,"Coastal"
2011,"Salmon Creek 1","Southeast","EIA","Final","Wind",NA,"Coastal"
